                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4271,                 3.2468,                 3.8238,                 1.7269,                0.64638,                0.01277,                0.02713,                0.01474,                0.64638,                0.01277,                0.02506,                0.01404,                 2.4235,                 4.5243,                 4.1436,                 3.0136,               0.070054,              0.0033274,              0.0033274
                      1,                 1.3778,                 2.7923,                 3.3929,                 1.6728,                0.47321,                0.04852,                0.03036,                0.01158,                0.47535,                0.04852,                0.02477,                0.01048,                 2.4385,                 3.8216,                 4.0224,                 3.1576,               0.039988,              0.0065948,              0.0065948
                      2,                 1.4888,                 2.8692,                 3.2322,                 1.7365,                0.00195,                0.48631,                0.01797,                0.00578,                0.00143,                0.36079,                0.01068,                0.00248,                 2.4023,                 4.3269,                 4.1696,                 3.2058,              0.0098557,              0.0097962,              0.0097962
                      3,                 1.5476,                 2.8503,                 3.1311,                 1.7726,                0.16096,                0.04773,                0.04916,                0.02651,                0.16096,                0.04773,                0.04735,                0.02373,                 2.0947,                 4.0915,                 3.5973,                 2.4722,               0.009703,               0.009703,               0.009703
                      4,                 1.5628,                 2.9387,                 3.0465,                 1.7806,                0.10274,                 0.0576,                0.06212,                0.03546,                0.10274,                 0.0576,                0.05606,                0.03188,                 2.2163,                  3.857,                 3.6618,                 2.5932,               0.009703,               0.009703,               0.009703
                      5,                 1.5509,                 2.8732,                 2.9632,                 1.7591,                 0.0852,                0.03219,                0.03533,                 0.0172,                0.08045,                0.03204,                0.03553,                0.01849,                 2.3448,                  3.752,                 3.8127,                 2.7839,               0.009604,               0.009604,               0.009604
                      6,                 1.5427,                 2.8007,                 2.9053,                 1.7318,                 0.0925,                0.03731,                0.05428,                0.02719,                 0.0854,                0.03272,                0.04741,                0.01995,                 2.2344,                 3.9683,                 3.4635,                 2.6361,               0.009505,               0.009505,               0.009505
                      7,                 1.5168,                 2.7941,                 2.8045,                 1.7173,                 0.1401,                0.11312,                0.06968,                0.03908,                0.13908,                0.10553,                0.06552,                0.03457,                 2.2345,                  3.899,                 3.4781,                 2.6666,               0.009406,               0.009406,               0.009406
                      8,                 1.5194,                 2.7673,                 2.7677,                  1.726,                 0.3716,                0.04524,                0.06236,                0.03373,                0.36574,                0.03189,                0.04933,                0.02498,                 2.2514,                 3.8276,                 3.5585,                 2.7959,               0.009307,               0.009307,               0.009307
                      9,                 1.5126,                 2.7432,                 2.7003,                 1.7263,                0.20783,                0.03529,                0.04837,                0.02313,                0.22365,                0.02607,                0.04233,                0.01922,                  2.262,                 3.9174,                 3.5928,                   2.74,               0.009208,               0.009208,               0.009208
                     10,                 1.5022,                 2.7968,                  2.693,                  1.722,                0.49788,                0.10744,                0.11166,                0.06194,                0.49681,                0.10283,                0.10521,                 0.0601,                 2.0766,                 3.3455,                 3.1688,                 2.4562,               0.009109,               0.009109,               0.009109
                     11,                 1.5118,                 2.7789,                 2.6685,                 1.7269,                0.26506,                0.08184,                0.11925,                0.06839,                0.26506,                0.08184,                 0.1167,                0.07095,                 2.0387,                 3.4272,                 3.1612,                 2.4286,                0.00901,                0.00901,                0.00901
                     12,                 1.5091,                 2.7709,                  2.592,                 1.7202,                0.18177,                0.16775,                0.13409,                0.08252,                 0.1851,                0.17697,                0.13645,                0.07998,                 1.8605,                 3.1645,                 2.9568,                 2.2425,               0.008911,               0.008911,               0.008911
                     13,                 1.4448,                  2.652,                 2.5181,                 1.6918,                0.29376,                0.23012,                0.12245,                0.06114,                0.28646,                0.22971,                 0.1067,                0.05557,                 1.7915,                  3.208,                 3.1421,                 2.3293,               0.008812,               0.008812,               0.008812
                     14,                  1.463,                 2.6885,                 2.5085,                 1.6931,                0.18069,                0.10635,                0.10552,                0.05837,                0.18285,                0.11096,                0.10612,                0.06019,                  1.898,                 3.1521,                 3.0124,                 2.3244,               0.008713,               0.008713,               0.008713
                     15,                 1.4544,                 2.6657,                 2.4998,                 1.6946,                0.24242,                0.05975,                0.07735,                0.04087,                0.23821,                0.05514,                0.06761,                0.03665,                 1.9442,                 3.3458,                   3.47,                 2.5562,               0.008614,               0.008614,               0.008614
                     16,                 1.4415,                 2.6397,                 2.5021,                 1.6914,                0.19832,                0.06201,                0.08929,                0.04941,                0.19832,                0.06201,                0.07559,                0.03725,                 2.0751,                 3.8419,                 3.4064,                 2.5681,               0.008515,               0.008515,               0.008515
                     17,                 1.4418,                 2.6547,                  2.434,                 1.6692,                 0.2145,                 0.0707,                0.07659,                0.04611,                0.21309,                0.06828,                0.07229,                0.03602,                 1.9332,                 3.6551,                 3.5345,                  2.488,               0.008416,               0.008416,               0.008416
                     18,                 1.4364,                 2.6466,                 2.4297,                 1.6547,                0.14414,                0.17345,                 0.1254,                0.07403,                0.14172,                0.16563,                0.11317,                0.06308,                 1.7981,                 3.2455,                 2.9804,                 2.2594,               0.008317,               0.008317,               0.008317
                     19,                  1.412,                 2.6145,                 2.4249,                 1.6546,                0.15994,                0.20055,                 0.1112,                 0.0576,                0.15859,                0.19594,                0.10564,                0.05546,                 1.9225,                 3.0391,                 3.0859,                 2.3695,               0.008218,               0.008218,               0.008218
                     20,                 1.3953,                 2.5888,                 2.3905,                 1.6514,                0.08717,                 0.2149,                  0.087,                0.04698,                0.23701,                0.14574,                0.07071,                0.03548,                 1.9009,                 3.7809,                 3.3183,                 2.4733,               0.008119,               0.008119,               0.008119
                     21,                 1.3966,                 2.5966,                 2.3424,                 1.6386,                0.17127,                 0.1529,                0.13164,                0.07211,                0.17127,                 0.1529,                0.12483,                0.06865,                 1.9365,                 3.2207,                 3.3286,                 2.4921,                0.00802,                0.00802,                0.00802
                     22,                 1.3991,                 2.6119,                  2.315,                 1.6334,                0.17222,                0.11246,                0.12704,                0.07836,                0.17222,                0.11246,                0.12649,                0.07814,                 1.7467,                   2.98,                 3.1651,                 2.1404,               0.007921,               0.007921,               0.007921
                     23,                 1.4081,                 2.5928,                 2.3222,                  1.634,                0.16264,                0.10057,                0.07548,                0.03743,                0.13086,                0.08198,                0.05413,                0.02617,                 2.2369,                 4.0563,                 3.6013,                 2.7847,               0.007822,               0.007822,               0.007822
                     24,                 1.3853,                  2.568,                 2.2888,                 1.6053,                0.14838,                0.12899,                0.13916,                 0.0875,                0.13736,                0.11516,                0.12713,                 0.0703,                 1.9744,                 3.3407,                 3.4112,                 2.4792,               0.007723,               0.007723,               0.007723
                     25,                 1.3834,                 2.5988,                 2.2871,                 1.6335,                0.15483,                0.08813,                0.08451,                0.04955,                0.15201,                0.08337,                0.08153,                0.04979,                 2.2064,                 3.7937,                 3.7069,                 2.5613,               0.007624,               0.007624,               0.007624
                     26,                    1.4,                 2.6263,                 2.2794,                 1.6579,                0.18795,                0.18554,                0.14151,                0.09805,                0.18524,                0.18078,                0.14132,                0.09241,                 1.9339,                 3.1615,                 3.1814,                 2.3058,               0.007525,               0.007525,               0.007525
                     27,                 1.3798,                 2.5309,                 2.2582,                 1.6238,                0.18823,                 0.2115,                0.14828,                0.08702,                0.18569,                0.20206,                0.13767,                  0.072,                 1.8804,                 3.6774,                 3.1122,                 2.3515,               0.007426,               0.007426,               0.007426
                     28,                 1.3774,                 2.5552,                 2.2724,                 1.6298,                0.16791,                0.16778,                0.11793,                0.07546,                0.16791,                0.16778,                0.11717,                0.07063,                 1.8964,                 3.3548,                 3.5238,                 2.3214,               0.007327,               0.007327,               0.007327
                     29,                  1.353,                 2.5178,                 2.2163,                 1.5986,                0.16804,                0.24421,                0.14373,                0.09188,                0.16804,                0.24421,                 0.1443,                0.09297,                 1.7308,                 2.8319,                 3.0923,                 2.1184,               0.007228,               0.007228,               0.007228
                     30,                 1.3479,                 2.5525,                 2.2395,                 1.5821,                0.30533,                 0.1695,                0.14088,                0.08863,                 0.3028,                0.16489,                 0.1342,                0.07513,                 1.9087,                 3.0592,                 2.9378,                 2.3792,               0.007129,               0.007129,               0.007129
                     31,                 1.2997,                 2.4886,                 2.2182,                 1.5726,                0.17445,                0.13974,                0.10692,                0.07249,                0.17445,                0.13974,                0.10737,                0.06846,                 2.0025,                 3.3533,                 3.6088,                 2.3552,                0.00703,                0.00703,                0.00703
                     32,                 1.3366,                 2.5242,                 2.1755,                 1.5962,                0.15003,                0.11632,                0.10937,                0.06991,                0.15003,                0.11632,                0.10923,                0.06771,                 2.1484,                 3.4714,                 3.7681,                 2.4966,               0.006931,               0.006931,               0.006931
                     33,                 1.3444,                 2.4786,                 2.2462,                 1.6136,                0.14813,                0.19414,                0.13707,                0.07895,                0.14813,                0.19414,                0.13784,                0.08049,                 1.8416,                 3.0562,                 3.1967,                  2.237,               0.006832,               0.006832,               0.006832
                     34,                 1.3319,                 2.5084,                 2.1721,                 1.5922,                0.15431,                0.18057,                0.12873,                0.08279,                0.15431,                0.18057,                 0.1271,                0.07823,                 1.8951,                 2.9802,                 3.2558,                 2.2546,               0.006733,               0.006733,               0.006733
                     35,                 1.3604,                 2.5566,                  2.134,                 1.6055,                0.11686,                0.25624,                0.13115,                0.07787,                0.11662,                0.25163,                0.12857,                0.07564,                 1.9386,                 3.0531,                 3.3813,                 2.3362,               0.006634,               0.006634,               0.006634
                     36,                 1.3019,                 2.4201,                 2.1413,                  1.574,                0.28772,                0.23614,                0.14608,                0.09054,                0.28755,                0.21771,                0.14241,                0.08856,                 1.7638,                 2.8683,                 3.0709,                 2.1875,               0.006535,               0.006535,               0.006535
                     37,                 1.3231,                 2.4986,                 2.1167,                 1.5833,                0.17858,                0.07815,                0.08098,                0.05344,                0.17858,                0.07815,                0.07997,                 0.0528,                 2.5661,                  3.572,                 4.3696,                 2.9489,               0.006436,               0.006436,               0.006436
                     38,                 1.2989,                  2.445,                 2.1263,                 1.5572,                0.19879,                0.17784,                0.10683,                0.06042,                0.20079,                0.17768,                0.10701,                0.06036,                 1.9651,                 3.7725,                 3.7247,                 2.3879,               0.006337,               0.006337,               0.006337
                     39,                 1.2882,                 2.4225,                 2.0833,                  1.568,                0.13897,                0.21339,                0.08936,                0.05179,                 0.1194,                 0.1736,                0.07647,                0.03976,                  2.044,                 4.3393,                 3.6275,                 2.5455,               0.006238,               0.006238,               0.006238
                     40,                  1.293,                 2.4576,                 2.1263,                 1.5667,                0.30173,                0.17727,                0.10679,                0.06712,                0.30789,                0.18747,                0.10891,                0.06195,                  1.873,                 3.6812,                 3.5276,                 2.2796,               0.006139,               0.006139,               0.006139
                     41,                 1.3113,                 2.4939,                 2.1732,                 1.5784,                0.17785,                0.21187,                0.13626,                0.09066,                0.17785,                0.21187,                0.13543,                0.08768,                  1.767,                 3.0228,                 3.2001,                 2.2048,                0.00604,                0.00604,                0.00604
                     42,                 1.2799,                 2.4058,                 2.1175,                 1.5557,                0.14304,                0.23404,                0.13944,                0.08451,                0.14674,                0.24424,                 0.1434,                0.08987,                 1.8837,                 3.0417,                 3.4213,                 2.2655,               0.005941,               0.005941,               0.005941
                     43,                 1.3033,                 2.5042,                 2.1229,                 1.5685,                0.14373,                0.25413,                0.15947,                0.09475,                0.14512,                0.25889,                0.16149,                0.08945,                 2.0948,                 2.9512,                 3.5254,                 2.5033,               0.005842,               0.005842,               0.005842
                     44,                 1.3199,                  2.446,                 2.1342,                 1.5828,                 0.4485,                0.11841,                0.09493,                 0.0582,                0.24554,                0.16201,                0.10091,                0.06002,                 2.4773,                 3.3245,                 3.8762,                 2.8941,               0.005743,               0.005743,               0.005743
                     45,                 1.2703,                 2.4259,                 2.0579,                 1.5436,                0.14759,                0.14123,                0.11677,                0.07506,                0.14759,                0.14123,                0.11825,                0.07737,                 2.4907,                 3.4249,                 3.7221,                 2.7981,               0.005644,               0.005644,               0.005644
                     46,                 1.2937,                  2.471,                 2.0689,                 1.5603,                0.27019,                0.15023,                0.10952,                0.06748,                0.27019,                0.15023,                0.10887,                0.06637,                 2.1906,                 3.2581,                   3.38,                 2.5121,               0.005545,               0.005545,               0.005545
                     47,                 1.2642,                 2.3887,                 2.0631,                 1.5413,                0.31895,                0.16501,                0.10921,                0.06928,                 0.3199,                0.16937,                0.10781,                0.06799,                 2.1512,                 3.1766,                 3.8378,                 2.4539,               0.005446,               0.005446,               0.005446
                     48,                 1.2959,                 2.4366,                 2.0715,                  1.569,                0.15511,                0.19196,                0.16865,                0.10818,                0.16286,                 0.1971,                0.16878,                0.11068,                 2.0379,                 3.0447,                 3.3588,                  2.329,               0.005347,               0.005347,               0.005347
                     49,                 1.2838,                 2.3782,                 2.0574,                 1.5554,                0.16745,                0.20797,                0.14896,                0.09165,                0.16601,                0.20336,                0.14369,                0.08419,                 1.8657,                 3.2062,                 3.4163,                 2.2768,               0.005248,               0.005248,               0.005248
                     50,                  1.287,                 2.4093,                 2.0619,                 1.5642,                0.30478,                0.27939,                0.14071,                0.08305,                0.29596,                0.26065,                0.12795,                0.07543,                  1.893,                  3.619,                 3.5027,                 2.2845,               0.005149,               0.005149,               0.005149
                     51,                 1.2551,                 2.3799,                 2.0314,                 1.5355,                0.14103,                0.20419,                0.14116,                0.09575,                0.14103,                0.20419,                0.14183,                0.09324,                 1.8697,                 3.0553,                 3.3243,                 2.2699,                0.00505,                0.00505,                0.00505
                     52,                 1.2617,                 2.3478,                 2.0198,                 1.5521,                0.18831,                0.23163,                0.13991,                0.09229,                0.18831,                0.23163,                0.14023,                0.09343,                 1.9247,                 3.1005,                 3.6365,                 2.2746,               0.004951,               0.004951,               0.004951
                     53,                 1.2472,                 2.3877,                  1.993,                 1.5221,                0.19618,                0.28309,                0.19328,                0.12539,                0.19821,                 0.2877,                0.19329,                0.13035,                 1.7525,                 2.9634,                 3.0976,                 2.1339,               0.004852,               0.004852,               0.004852
                     54,                 1.2475,                 2.3981,                 2.0172,                 1.5324,                0.16644,                0.21195,                0.16044,                0.10331,                0.16644,                0.21195,                0.15815,                0.10022,                 1.6984,                 3.1449,                 3.3097,                 2.0861,               0.004753,               0.004753,               0.004753
                     55,                  1.235,                 2.3153,                 1.9831,                 1.5228,                0.16463,                0.13883,                0.13621,                0.09764,                0.16595,                 0.1408,                0.13281,                0.08607,                 1.7883,                 3.4331,                 3.5607,                 2.2096,               0.004654,               0.004654,               0.004654
                     56,                 1.2448,                 2.3757,                 1.9817,                 1.5375,                0.15609,                0.27527,                0.14885,                0.10246,                0.15543,                0.27067,                0.14443,                0.09271,                 1.7349,                 2.9573,                 3.3142,                 2.1538,               0.004555,               0.004555,               0.004555
                     57,                 1.2614,                 2.3884,                 1.9937,                 1.5383,                0.14595,                0.20797,                0.13575,                0.09494,                0.14679,                0.20812,                0.13234,                0.07841,                 1.8083,                 3.3361,                 3.3719,                  2.267,               0.004456,               0.004456,               0.004456
                     58,                 1.2411,                 2.3368,                 1.9838,                 1.5345,                0.09617,                 0.4359,                0.13081,                0.09218,                 0.0941,                0.40349,                0.12685,                0.07595,                 1.8912,                   3.72,                  4.074,                 2.3795,               0.004357,               0.004357,               0.004357
