                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2532,                 2.8384,                 3.7421,                 1.5939,                0.66569,                0.16537,                0.13563,                0.08672,                0.66569,                0.16537,                0.13534,                0.08806,                 1.3886,                 2.6379,                 3.4069,                      2,               0.070054,              0.0033274,              0.0033274
                      1,                 1.2527,                 2.4464,                 3.2589,                 1.5575,                0.32228,                0.33537,                0.16434,                0.09728,                0.31628,                 0.3226,                0.15749,                0.10098,                 1.4264,                 2.4895,                  3.069,                  1.953,               0.039988,              0.0065948,              0.0065948
                      2,                 1.3597,                 2.5155,                 3.1283,                 1.6413,                0.31402,                0.11979,                0.13885,                0.08554,                0.31402,                0.11979,                0.13435,                  0.091,                 1.5119,                 2.6145,                 3.3786,                 2.1406,              0.0098557,              0.0097962,              0.0097962
                      3,                  1.401,                 2.5252,                 2.9946,                 1.6629,                 0.2202,                0.35554,                0.19002,                0.10744,                0.20598,                 0.3334,                0.17933,                0.11743,                 1.4448,                 2.4353,                 2.7807,                 1.9404,               0.009703,               0.009703,               0.009703
                      4,                 1.4227,                 2.6069,                 2.9056,                 1.6602,                0.31853,                0.41444,                0.19579,                0.11848,                0.31333,                0.39638,                0.18783,                0.11811,                 1.4486,                 2.3307,                 2.6869,                 1.8602,               0.009703,               0.009703,               0.009703
                      5,                 1.4212,                 2.5878,                 2.8648,                  1.648,                0.20263,                0.34356,                0.19107,                0.11388,                0.20087,                 0.3388,                0.18138,                0.11738,                 1.4372,                 2.2905,                 2.6828,                 1.8998,               0.009604,               0.009604,               0.009604
                      6,                 1.3939,                 2.4738,                 2.7733,                 1.6283,                0.18282,                 0.4061,                0.21378,                0.12563,                0.17817,                 0.3928,                0.20441,                0.12392,                 1.3908,                 2.2795,                 2.5428,                 1.8652,               0.009505,               0.009505,               0.009505
                      7,                 1.3678,                 2.5146,                 2.6858,                 1.6281,                0.23163,                 0.4456,                0.25295,                 0.1582,                0.22046,                0.44046,                0.23331,                0.15143,                  1.373,                 2.2416,                 2.3577,                 1.8287,               0.009406,               0.009406,               0.009406
                      8,                 1.3642,                 2.4529,                 2.6561,                 1.6244,                0.31431,                0.30849,                0.17138,                0.09534,                0.31327,                0.29768,                0.16066,                 0.0978,                 1.8667,                 2.7539,                 2.7923,                 2.3534,               0.009307,               0.009307,               0.009307
                      9,                 1.3611,                 2.4463,                 2.5681,                  1.634,                0.35728,                0.40165,                0.23694,                0.15636,                0.35727,                0.40112,                0.22802,                0.15373,                 1.3849,                 2.3489,                 2.3836,                 1.8735,               0.009208,               0.009208,               0.009208
                     10,                 1.3493,                 2.4601,                 2.5241,                 1.6009,                0.19761,                0.35857,                0.22233,                0.14932,                0.19539,                0.34936,                0.21372,                0.14519,                 1.5921,                 2.6362,                  2.472,                 2.0905,               0.009109,               0.009109,               0.009109
                     11,                 1.3282,                 2.4292,                 2.5096,                 1.5881,                0.18937,                0.49614,                0.26938,                0.18003,                0.18758,                0.45458,                0.26485,                0.17941,                 1.3532,                 2.2911,                 2.4331,                 1.8461,                0.00901,                0.00901,                0.00901
                     12,                 1.3243,                  2.423,                 2.4426,                   1.58,                0.14014,                0.41358,                0.21555,                0.12394,                0.13628,                0.40191,                0.20046,                0.12028,                 1.6093,                 2.6121,                 2.6108,                 2.0879,               0.008911,               0.008911,               0.008911
                     13,                 1.2813,                 2.2984,                 2.3927,                 1.5692,                0.29933,                0.44358,                0.35595,                0.23204,                0.29378,                0.43841,                0.34305,                0.22936,                 1.2595,                 2.1362,                 2.0263,                 1.7155,               0.008812,               0.008812,               0.008812
                     14,                 1.2913,                 2.3673,                 2.3503,                 1.5718,                0.20332,                0.54595,                0.33679,                0.20691,                0.19846,                0.53081,                0.33063,                0.21737,                 1.3294,                 2.1464,                 2.1868,                 1.7983,               0.008713,               0.008713,               0.008713
                     15,                 1.3024,                 2.3346,                 2.3272,                 1.5794,                0.31713,                0.32118,                0.30339,                0.20036,                0.32743,                0.30277,                  0.278,                0.18689,                 1.4139,                 2.5281,                   2.34,                 1.9013,               0.008614,               0.008614,               0.008614
                     16,                 1.2848,                 2.3253,                 2.3056,                 1.5659,                0.41417,                0.49749,                0.37412,                 0.2539,                0.42115,                0.46525,                0.36313,                 0.2472,                 1.3923,                 2.4105,                 2.1995,                 1.8466,               0.008515,               0.008515,               0.008515
                     17,                 1.2627,                 2.3207,                 2.2672,                 1.5373,                0.46553,                0.42325,                0.39367,                0.26261,                 0.4577,                0.41576,                0.38211,                0.26993,                 1.2244,                 2.1517,                 1.8927,                 1.6952,               0.008416,               0.008416,               0.008416
                     18,                 1.2851,                 2.3205,                 2.2641,                 1.5483,                0.29841,                0.51904,                0.39793,                 0.2794,                0.29184,                0.50506,                0.38526,                0.27151,                 1.1665,                 2.0418,                 1.9337,                 1.6361,               0.008317,               0.008317,               0.008317
                     19,                 1.2471,                 2.2838,                 2.2228,                 1.5352,                 0.3817,                0.52583,                0.39782,                0.27397,                0.36316,                0.52137,                0.38164,                0.26519,                 1.2132,                  2.112,                 1.8912,                  1.674,               0.008218,               0.008218,               0.008218
                     20,                 1.2354,                 2.2371,                 2.1842,                 1.5202,                0.33121,                0.53399,                0.40197,                 0.2799,                0.34274,                0.53415,                0.39781,                0.26931,                 1.2744,                 2.1761,                 1.8684,                 1.7107,               0.008119,               0.008119,               0.008119
                     21,                 1.2023,                 2.2275,                 2.1154,                 1.4997,                0.36284,                0.58492,                0.42768,                0.29179,                0.36385,                0.57516,                0.41652,                0.29385,                 1.2397,                 2.0148,                 1.8105,                 1.6875,                0.00802,                0.00802,                0.00802
                     22,                 1.2404,                 2.2728,                 2.1082,                 1.5292,                0.30798,                 0.5677,                0.40466,                0.26951,                0.29858,                0.55032,                 0.3922,                0.27212,                 1.3452,                 2.2367,                 1.8915,                 1.7882,               0.007921,               0.007921,               0.007921
                     23,                 1.2256,                 2.2393,                 2.0934,                 1.4915,                0.26221,                0.50919,                0.35222,                0.24156,                0.25242,                0.49522,                0.34134,                0.24618,                 1.2776,                 2.1726,                 2.0372,                 1.7353,               0.007822,               0.007822,               0.007822
                     24,                 1.2313,                 2.2571,                 2.0858,                 1.4989,                0.33715,                0.54716,                0.41787,                 0.2704,                0.33236,                0.53242,                0.39903,                0.25126,                 1.3274,                  2.227,                 1.9589,                 1.7854,               0.007723,               0.007723,               0.007723
                     25,                 1.2282,                  2.254,                 2.1131,                 1.5174,                0.33373,                0.50597,                 0.4044,                0.26193,                0.33992,                0.51785,                0.40094,                0.25708,                 1.3798,                 2.4704,                 1.9071,                 1.8502,               0.007624,               0.007624,               0.007624
                     26,                 1.2147,                 2.2303,                 2.0714,                 1.5198,                0.26916,                0.42783,                0.34497,                0.24095,                0.27421,                0.42692,                 0.3426,                0.24678,                 1.3797,                 2.2839,                 2.0792,                 1.8192,               0.007525,               0.007525,               0.007525
                     27,                 1.2073,                 2.1763,                 2.0362,                 1.5074,                0.36701,                0.46813,                0.42226,                0.29861,                0.36701,                0.46813,                0.41554,                0.29407,                 1.2416,                   2.13,                   1.88,                 1.7066,               0.007426,               0.007426,               0.007426
                     28,                 1.1806,                 2.2238,                 2.0355,                 1.4946,                0.35049,                0.52614,                0.42831,                0.30001,                0.34959,                0.52101,                  0.423,                0.30241,                 1.2371,                 2.0284,                 1.8257,                 1.6942,               0.007327,               0.007327,               0.007327
                     29,                 1.1687,                 2.1557,                 2.0072,                 1.4823,                0.38827,                0.55798,                0.45614,                0.31224,                0.38218,                0.54698,                0.44679,                0.31091,                 1.1945,                 1.9449,                 1.7867,                 1.6617,               0.007228,               0.007228,               0.007228
                     30,                 1.1892,                 2.1811,                 2.0005,                 1.4818,                0.44564,                0.56328,                0.45596,                0.31834,                0.44445,                0.54904,                0.44254,                0.31683,                 1.2564,                 2.0332,                 1.7325,                 1.7202,               0.007129,               0.007129,               0.007129
                     31,                 1.1743,                 2.1588,                 2.0117,                 1.4797,                0.44493,                0.56625,                0.47214,                0.32238,                0.42565,                0.54782,                0.45193,                0.31133,                 1.1608,                 2.0107,                 1.7953,                 1.6519,                0.00703,                0.00703,                0.00703
                     32,                 1.1612,                 2.1425,                 1.9883,                 1.4749,                0.51572,                0.42717,                0.43297,                0.30194,                0.50826,                0.41864,                0.41947,                 0.2995,                 1.2024,                 1.9806,                 1.7968,                 1.6635,               0.006931,               0.006931,               0.006931
                     33,                  1.152,                 2.1459,                 1.9722,                 1.4759,                 0.3714,                0.59941,                0.46664,                0.33549,                0.36041,                0.58082,                0.44894,                0.32635,                 1.1406,                 1.9364,                 1.7153,                 1.6074,               0.006832,               0.006832,               0.006832
                     34,                 1.1423,                 2.1305,                 1.9149,                 1.4587,                0.46336,                0.53768,                0.46155,                0.32334,                0.45791,                0.52793,                0.44861,                0.30613,                 1.2018,                 2.0186,                 1.7631,                 1.6912,               0.006733,               0.006733,               0.006733
                     35,                 1.1773,                 2.2036,                 1.9226,                 1.4833,                0.38103,                0.54828,                0.43383,                0.30752,                0.37694,                0.53959,                0.42383,                0.30559,                 1.2322,                 1.9828,                 1.8813,                 1.6978,               0.006634,               0.006634,               0.006634
                     36,                 1.1329,                 2.1032,                 1.9059,                 1.4605,                0.43416,                0.50362,                 0.4725,                0.33007,                 0.4317,                0.50561,                0.46096,                0.32758,                 1.1407,                 1.9173,                 1.7558,                  1.621,               0.006535,               0.006535,               0.006535
                     37,                 1.1414,                 2.1077,                 1.9032,                 1.4551,                0.39236,                0.54914,                  0.446,                0.32315,                0.39035,                0.54354,                0.43594,                0.31231,                   1.24,                 2.0918,                 1.7382,                 1.6858,               0.006436,               0.006436,               0.006436
                     38,                  1.144,                 2.1064,                 1.8716,                 1.4568,                0.43585,                0.49779,                0.50494,                0.35102,                0.35651,                0.52818,                0.48251,                0.34914,                  1.179,                  1.912,                 1.6785,                 1.6283,               0.006337,               0.006337,               0.006337
                     39,                 1.1179,                 2.0777,                 1.8745,                 1.4426,                0.44757,                0.54235,                0.49712,                0.35154,                 0.4412,                0.53407,                0.48396,                0.34766,                  1.172,                 2.0137,                 1.6623,                 1.6506,               0.006238,               0.006238,               0.006238
                     40,                  1.134,                 2.1005,                 1.8882,                 1.4567,                0.43936,                0.55199,                0.49792,                0.35176,                0.44093,                0.54738,                 0.4835,                0.35249,                 1.1652,                 1.8957,                 1.7512,                 1.6661,               0.006139,               0.006139,               0.006139
                     41,                 1.1432,                 2.1322,                 1.9332,                 1.4534,                 0.4398,                0.51185,                0.49785,                0.35069,                0.43148,                0.50386,                0.48706,                0.35855,                 1.1439,                 1.9194,                 1.6999,                 1.6244,                0.00604,                0.00604,                0.00604
                     42,                 1.1235,                 2.0729,                 1.8761,                 1.4401,                0.45154,                0.57321,                0.54732,                0.38812,                0.43313,                0.58463,                0.52616,                0.37434,                 1.1309,                 1.8941,                 1.5566,                  1.583,               0.005941,               0.005941,               0.005941
                     43,                 1.1418,                 2.1312,                 1.8885,                 1.4498,                0.58288,                0.46196,                0.51143,                0.34321,                0.55801,                0.44455,                0.48798,                0.33657,                 1.3171,                 2.0552,                 1.7032,                 1.7654,               0.005842,               0.005842,               0.005842
