                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7352,                 3.2338,                 5.3887,                 2.2911,                0.70737,                0.07044,                0.08859,                0.04689,                0.74592,                0.06953,                0.09186,                0.05413,                 2.1911,                 3.3761,                 4.4758,                  2.804,               0.070054,              0.0033274,              0.0033274
                      1,                 1.5424,                 2.7184,                 4.1803,                 2.1121,                0.21525,                0.16741,                0.09389,                0.05402,                 0.2159,                0.17626,                 0.1005,                0.06111,                 1.9514,                 2.9851,                 5.6296,                 2.6206,               0.039988,              0.0065948,              0.0065948
                      2,                 1.5733,                 2.7912,                 3.8359,                 2.1596,                 0.2878,                0.19279,                0.10626,                0.05454,                0.28841,                0.18493,                0.10525,                0.05675,                  1.821,                 3.0704,                 4.2618,                 2.5019,              0.0098557,              0.0097962,              0.0097962
                      3,                 1.5914,                 2.7012,                  3.609,                 2.1715,                 0.5653,                0.18021,                0.14338,                0.08521,                0.56858,                0.15356,                0.14421,                0.10182,                 1.8994,                 2.8729,                 6.0347,                 2.9076,               0.009703,               0.009703,               0.009703
                      4,                 1.5709,                 2.8018,                 3.3967,                 2.1646,                0.40734,                0.22019,                0.16508,                0.09743,                0.41502,                0.25666,                0.17656,                0.10855,                 1.7343,                 2.8343,                 3.2183,                 2.3604,               0.009703,               0.009703,               0.009703
                      5,                 1.5869,                 2.7594,                 3.2431,                 2.1421,                 0.3442,                0.19642,                0.15301,                0.08135,                 0.3442,                0.19642,                0.15227,                0.09624,                 1.8476,                 2.6422,                 3.3178,                 2.5253,               0.009604,               0.009604,               0.009604
                      6,                 1.5131,                 2.6343,                 3.0472,                 2.0939,                0.44062,                0.31806,                0.18949,                0.09635,                  0.438,                0.29752,                0.19095,                0.11852,                 1.6869,                 2.4977,                 3.2233,                 2.3522,               0.009505,               0.009505,               0.009505
                      7,                 1.4966,                 2.6406,                 2.9325,                 2.0786,                0.32335,                0.29117,                0.19343,                0.12348,                0.32402,                0.29615,                0.19252,                0.12038,                 1.6075,                 2.6121,                 3.0798,                  2.247,               0.009406,               0.009406,               0.009406
                      8,                 1.5203,                 2.6162,                 2.8862,                 2.0783,                0.19504,                0.27426,                0.21987,                0.13863,                0.19663,                0.27419,                0.21391,                0.14831,                 1.6489,                 2.5175,                 2.8256,                  2.265,               0.009307,               0.009307,               0.009307
                      9,                 1.5237,                 2.6443,                 2.8055,                 2.0733,                0.35105,                0.31538,                0.25668,                 0.1294,                0.35583,                0.31999,                0.26148,                0.14869,                 1.8463,                 2.6864,                 2.6605,                 2.4035,               0.009208,               0.009208,               0.009208
                     10,                 1.4786,                 2.6454,                 2.7563,                 2.0496,                0.21575,                0.44889,                0.30448,                0.18549,                0.21549,                0.42755,                0.28717,                0.20189,                 1.5813,                 2.4274,                 2.4135,                 2.1524,               0.009109,               0.009109,               0.009109
                     11,                 1.4856,                 2.6098,                 2.7177,                 2.0402,                0.63395,                 0.2878,                0.26617,                0.15531,                 0.6369,                0.28523,                0.25959,                0.17701,                 1.6155,                 2.4436,                 2.4887,                 2.2577,                0.00901,                0.00901,                0.00901
                     12,                 1.4787,                  2.601,                  2.603,                 2.0432,                 0.2936,                0.33388,                0.22772,                0.13603,                0.28919,                0.32006,                0.22196,                 0.1518,                 1.6125,                 2.5506,                 2.7966,                 2.2686,               0.008911,               0.008911,               0.008911
                     13,                 1.4468,                 2.4324,                 2.5793,                  1.989,                0.22849,                0.46457,                0.31041,                0.18512,                0.21338,                0.45535,                0.30068,                0.20297,                 1.5497,                 2.2416,                 2.5004,                 2.1429,               0.008812,               0.008812,               0.008812
